intent,segment,url,title,listed_date,listed_time,scrape_datetime,agent_name,agent_id,listing_id,snapshot_path
sale,commercial,https://www.iproperty.com.my/property/kampar/sale-200279237/,Hot sale! Double Storey Commercial building at Kampar!,,,2025-10-03 13:03:13,,,200279237,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/bangi/a-park-bangi-3-storey-brand-new-detached-factory/ol-sale-107230357/,A Park Bangi Brand New 3 Storey Detached Factory For Sale,,,2025-10-03 13:03:13,,,107230357,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/bukit-jalil/aurora-place-bukit-jalil/sale-500011622/,5 Storey Freehold  Shop Office Rental Yield 4.5%,,,2025-10-03 13:03:13,,,500011622,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/ipoh/ol-rent-104240091/,Big Warehouse For Rent,,,2025-10-03 13:03:15,,,104240091,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/petaling-jaya/rent-200141568/,Petaling Jaya Warehouse for rent,,,2025-10-03 13:03:15,,,200141568,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/pasir-gudang/kawasan-perindustrian-pasir-gudung/rent-500203341/,Single Storey Detached Warehouse 107k sq.ft at Pasir Gudung for Rent,,,2025-10-03 13:03:15,,,500203341,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/balakong/taman-industri-selesa-jaya-balakong/rent-200015915/,"2-Storey Semi-d factory for rent at Selesa Jaya, Taming Jaya, Balakong",,,2025-10-03 13:03:15,,,200015915,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/taman-tun-dr-ismail/shop-lot/rent-108237629/,Taman Tun Dr Ismail Shop for Rent 2storys,,,2025-10-03 13:03:15,,,108237629,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/johor-bahru/jalan-serampang/rent-500203266/,"Commercial Bungalow, Taman Sri Tebrau, Taman Pelangi, Taman Abad",,,2025-10-03 13:03:15,,,500203266,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/kl-city-centre/mof-inc-tower-platinum-park-klcc-kl-city-centre-kuala-lumpur-klcc-kl-city-centre/rent-200394120/,Fitted Office For Rent,,,2025-10-03 13:03:15,,,200394120,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/shah-alam/shah-alam-strategic-location-detached-warehouse/rent-104481356/,Detached factory for rent,,,2025-10-03 13:03:15,,,104481356,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/mid-valley-city/northpoint-mid-valley-city/rent-102050685/,Office for Rent,,,2025-10-03 13:03:15,,,102050685,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/mid-valley-city/the-boulevard/rent-102634625/,Shop for Rent,,,2025-10-03 13:03:15,,,102634625,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/bangsar/rent-101018942/,Newly Built 3 Storey Commercial Bungalow ( With Lift ),,,2025-10-03 13:03:15,,,101018942,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/bangsar/rent-101018943/,Strategic Location / Facing Main Road / 1 Min to Drive to Mid Valley,,,2025-10-03 13:03:15,,,101018943,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/kl-city-centre/menara-hup-seng-grand-office-space/ol-rent-200337363/,Grade A Fully Furnished Office in Business Center KLCC Bukit Bintang,,,2025-10-03 13:03:15,,,200337363,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/setapak/prima-setapak/rent-500176012/,Setapak Prime Area Ground Floor Shoplot for Rent,,,2025-10-03 13:03:15,,,500176012,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/port-klang-pelabuhan-klang/rent-106939104/,100ksf Freehold Detached Factory/ Warehouse @ Port Klang for Rent,,,2025-10-03 13:03:15,,,106939104,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/port-klang-pelabuhan-klang/rent-200302819/,Brand New Warehouse For Rent @ Port Klang Northport Pelabuhan Klang,,,2025-10-03 13:03:15,,,200302819,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/telok-panglima-garang/bandar-rimbayu/rent-500053400/,Best Corner Lot Location,,,2025-10-03 13:03:15,,,500053400,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/telok-panglima-garang/bandar-rimbayu/rent-500053503/,Rimbayu U2 Adjoining Corner Lot Great Location,,,2025-10-03 13:03:15,,,500053503,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/shah-alam/ground-floor-high-traffic-limited-alam-budiman-shah-alam-bukit-raja-klang-setia-alam/rent-200266575/,Limited Ground Floor Shoplot @ Alam Budiman Shah Alam,,,2025-10-03 13:03:15,,,200266575,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
rent,commercial,https://www.iproperty.com.my/property/puncak-alam/alam-jaya-industrial-park/rent-500062664/,"Brand New Factory Available for Lease in Shah Alam, Klang, Kapar, Meru",,,2025-10-03 13:03:15,,,500062664,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_commercial_page_1.html.gz
